/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:06:37 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:06:37 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:07:24 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:08:26 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:08:36 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:08:36 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:08:43 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:08:43 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:08:47 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:08:47 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:11:46 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Fri Jun 21 2024 17:12:03 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Sat Jun 22 2024 02:16:49 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Sat Jun 22 2024 02:16:52 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Sat Jun 22 2024 02:16:55 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Sat Jun 22 2024 02:17:00 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Sat Jun 22 2024 02:17:07 GMT+0300 (Israel Daylight Time), 
/api/teams, GET, /api/teams, undefined, Sat Jun 22 2024 02:17:11 GMT+0300 (Israel Daylight Time), 
